Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3
ID203434,203434,0,26.62239075,10.95877898,18.79683933,0,132,44,0.25,1,,24.26229508,24,17,34,1480,3.549186007,321.6557377,324,245,409,19621,43.51738551,100.704918,81,31,279,6143,69.75417413,,,-0.100560251,-1.528577231,0.005277619,0.077608721,0.698352807,1.187291735
ID203254,203254,0,25.32186317,11.01517496,18.81704746,0,135,45,0.25,1,,24.52459016,24,18,38,1496,3.6950713,330.852459,340,214,412,20182,49.40034955,97.49180328,87,17,230,5947,60.19181089,,,-0.101263814,-1.495653467,0.017864916,0.235095961,0.69537917,1.32866509
ID204028,204028,0,25.25844574,11.00992151,18.82088918,0,138,46,0.25,1,,24.06557377,24,16,36,1468,4.077862399,352.1639344,358,229,451,21482,51.18469183,98.95081967,87,27,254,6036,62.66669137,,,-0.083765679,-1.079078912,0.043950877,0.579324984,0.704683911,1.305458648
ID203828,203828,0,22.90079117,10.98166711,18.80433805,0,141,47,0.25,1,,24.90163934,24,17,34,1519,4.257170101,335.557377,337,222,470,20469,55.83771861,94.62295082,77,30,254,5772,58.73022048,,,-0.095951048,-1.241637175,0.018900983,0.22295722,0.685365912,1.310367601
ID203713,203713,0,23.68289948,11.03833937,18.80149157,0,144,48,0.25,1,,24.6557377,25,18,36,1504,4.142805997,343.4098361,349,212,480,20948,57.42716461,94.78688525,90,31,255,5782,55.59799599,,,-0.120456146,-1.630139864,0.042897173,0.491940449,0.689153143,1.391123943
ID203927,203927,0,24.12664604,11.03733157,18.77930193,0,147,49,0.25,1,,25.26229508,25,18,32,1541,3.816200726,326.2459016,320,222,427,19901,51.48095303,93.52459016,74,29,233,5705,56.44011769,,,-0.11175884,-1.665798934,0.026624989,0.328704832,0.689596683,1.352633111
ID204409,204409,0,22.64816284,10.96491926,18.80698687,0,150,50,0.25,1,,24.83606557,24,17,35,1515,4.282446061,352.8688525,354,240,466,21525,57.82112515,90.03278689,78,22,244,5492,54.79567112,,,-0.112110087,-1.464557611,0.035479608,0.418209649,0.675934724,1.325354622
ID204719,204719,0,24.36693573,10.93699439,18.79789716,0,153,51,0.25,1,,23.59016393,24,14,32,1439,4.428607942,350.3442623,349,259,483,21371,52.36311846,93.03278689,82,24,228,5675,56.63007658,,,-0.119981654,-1.452502326,0.034933194,0.451674407,0.682487008,1.332789451
ID204312,204312,0,22.11033058,10.92889814,18.83284009,0,156,52,0.25,1,,24.49180328,24,17,33,1494,4.09317705,361.9508197,363,261,509,22079,52.87325292,90.01639344,72,31,256,5491,54.04766162,,,-0.081057184,-1.055585104,0.053310454,0.6929462,0.685244329,1.354432204
ID204218,204218,0,21.37870026,10.92713198,18.82653287,0,159,53,0.25,1,,24.50819672,24,19,32,1495,3.505343306,357.6229508,366,265,501,21815,49.75847128,85.27868852,65,27,203,5202,51.18076825,,,-0.090800715,-1.396500126,0.036181783,0.501929077,0.660931593,1.326076179
