LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID34861,34861,7,2.6908016204833984,13.042571326401006,14.985088179871747,0.0,36.0201358795166,12,0.25,1,,131.9016393442623,130.0,104.0,183.0,8046.0,16.80050090327943,32.60655737704918,32.0,22.0,49.0,1989.0,6.858762494125283,,,0.016745729562534572,0.25861259658014146,0.16054535659525088,1.315299970227708
ID35141,35141,7,2.2429141998291016,13.100102721327417,15.00855271711934,0.0,39.02181386947632,13,0.25,1,,131.1639344262295,127.0,95.0,190.0,8001.0,19.75700747234497,31.19672131147541,31.0,21.0,45.0,1903.0,5.55223580230267,,,0.025108376374496328,0.32521615794228986,0.1424965333979182,1.4015882720570494
ID35951,35951,7,2.1366631984710693,13.082114434035901,14.842834567669827,0.0,42.023491859436035,14,0.25,1,,144.39344262295083,144.0,102.0,201.0,8808.0,23.448012487575284,30.9672131147541,31.0,20.0,42.0,1889.0,4.979850108570049,,,0.04346702278895446,0.5130416177357826,0.13685837485167948,1.4972035936502093
ID35404,35404,7,2.0574581623077393,13.081126783194687,14.907342285557682,0.0,45.02516984939575,15,0.25,1,,138.2622950819672,135.0,96.0,197.0,8434.0,21.837965136694294,29.147540983606557,29.0,19.0,41.0,1778.0,5.5161461957111895,,,0.027231193176077483,0.3356758220953305,0.12771723461915466,1.1968657471923316
ID34597,34597,7,2.2018911838531494,13.149888542891356,14.849107777245003,0.0,48.02684783935547,16,0.25,1,,133.91803278688525,135.0,85.0,177.0,8169.0,18.712112905786647,30.0,28.0,19.0,44.0,1830.0,6.156297588648554,,,0.02734195106109091,0.380943621679844,0.12856684834882975,1.110282141872183
ID36527,36527,7,2.620251178741455,13.112480053171666,14.842325934220487,0.0,51.028525829315186,17,0.25,1,,132.52459016393442,133.0,94.0,194.0,8084.0,20.94007844412006,31.049180327868854,29.0,21.0,43.0,1894.0,6.248803164095229,,,0.03126669358176402,0.3837594888549494,0.16211712371270595,1.3863161415101986
ID37323,37323,7,2.4839158058166504,13.179325337945762,14.749689662137406,0.0,54.0302038192749,18,0.25,1,,125.62295081967213,125.0,82.0,165.0,7663.0,19.436361057243744,31.19672131147541,31.0,21.0,40.0,1903.0,4.9793562908309985,,,0.023958503763671243,0.3024554143926561,0.16938417814771625,1.815019828773133
ID36805,36805,7,2.0013034343719482,13.228576906743577,14.732491217431281,0.0,57.03188180923462,19,0.25,1,,128.7377049180328,128.0,93.0,186.0,7853.0,20.774103782790295,29.18032786885246,29.0,18.0,51.0,1780.0,6.216934391164483,,,0.035246426876762806,0.4219731498695947,0.13978854535796664,1.1513070825224694
ID38569,38569,7,2.8572802543640137,13.225960098696769,14.75223469414175,0.0,60.033559799194336,20,0.25,1,,137.91803278688525,137.0,91.0,189.0,8413.0,20.200078450315658,31.688524590163933,30.0,21.0,49.0,1933.0,7.020306222206545,,,0.041547949613909445,0.5447137290420063,0.17313305712596053,1.3323204175695964
ID37818,37818,7,2.360558032989502,13.210030072147415,14.678880685380026,0.0,63.03523778915405,21,0.25,1,,142.86885245901638,141.0,103.0,193.0,8715.0,22.721851017494203,30.18032786885246,30.0,19.0,47.0,1841.0,6.621953882657572,,,0.06161835476286547,0.7299036305253649,0.14789589381778762,1.174414518094209
